blockIndex,coinbaseReward,timestamp,difficulty,timeBetweenBlocks
551,256000000,1724156143011,20,568
552,256000000,1724156144254,20,1243
553,256000000,1724156145156,20,902
554,256000000,1724156146063,20,907
555,256000000,1724156148255,20,2192
556,256000000,1724156148829,20,574
557,256000000,1724156149396,20,567
558,256000000,1724156149973,20,577
559,256000000,1724156151521,20,1548
560,256000000,1724156152767,20,1246
561,256000000,1724156153367,20,600
562,256000000,1724156153952,20,585
563,256000000,1724156154513,20,561
564,256000000,1724156155085,20,572
565,256000000,1724156155662,20,577
566,256000000,1724156156894,20,1232
567,256000000,1724156157795,20,901
568,256000000,1724156158702,20,907
569,256000000,1724156159279,20,577
570,256000000,1724156159871,20,592
571,256000000,1724156160764,20,893
572,256000000,1724156162332,20,1568
573,256000000,1724156164209,20,1877
574,256000000,1724156165442,20,1233
575,256000000,1724156166018,20,576
576,256000000,1724156166596,20,578
577,256000000,1724156168153,24,1557
578,256000000,1724156169062,24,909
579,256000000,1724156170287,24,1225
580,256000000,1724156170873,24,586
581,256000000,1724156171798,24,925
582,256000000,1724156172690,24,892
583,256000000,1724156173595,24,905
584,256000000,1724156174497,24,902
585,256000000,1724156175075,24,578
586,256000000,1724156176963,24,1888
587,256000000,1724156177927,24,964
588,256000000,1724156178532,24,605
589,256000000,1724156179159,24,627
590,256000000,1724156180745,24,1586
591,256000000,1724156181328,24,583
592,256000000,1724156182899,24,1571
593,256000000,1724156183802,24,903
594,256000000,1724156185676,24,1874
595,256000000,1724156186252,24,576
596,256000000,1724156187470,24,1218
597,256000000,1724156188047,24,577
598,256000000,1724156188609,24,562
599,256000000,1724156189529,24,920
600,256000000,1724156192385,24,2856
601,256000000,1724156192982,24,597
602,256000000,1724156193912,24,930
603,256000000,1724156194492,24,580
604,256000000,1724156195073,24,581
605,256000000,1724156195981,24,908
606,256000000,1724156196559,24,578
607,256000000,1724156198447,24,1888
608,256000000,1724156199337,24,890
609,256000000,1724156199914,24,577
610,256000000,1724156201132,24,1218
611,256000000,1724156201727,24,595
612,256000000,1724156202312,24,585
613,256000000,1724156202885,24,573
614,256000000,1724156204774,24,1889
615,256000000,1724156205347,24,573
616,256000000,1724156206230,24,883
617,256000000,1724156208121,24,1891
618,256000000,1724156208703,24,582
619,256000000,1724156209955,24,1252
620,256000000,1724156210545,24,590
621,256000000,1724156211845,24,1300
622,256000000,1724156212450,24,605
623,256000000,1724156213030,24,580
624,256000000,1724156213621,24,591
625,256000000,1724156215507,24,1886
626,256000000,1724156217065,24,1558
627,256000000,1724156217967,24,902
628,256000000,1724156218859,24,892
629,256000000,1724156219436,24,577
630,256000000,1724156220015,24,579
631,256000000,1724156220604,24,589
632,256000000,1724156221173,24,569
633,256000000,1724156222427,24,1254
634,256000000,1724156223644,24,1217
635,256000000,1724156224548,24,904
636,256000000,1724156225128,24,580
637,256000000,1724156225699,24,571
638,256000000,1724156227262,24,1563
639,256000000,1724156227822,24,560
640,256000000,1724156229378,24,1556
641,256000000,1724156230308,24,930
642,256000000,1724156231876,24,1568
643,256000000,1724156233435,24,1559
644,256000000,1724156234018,24,583
645,256000000,1724156235248,24,1230
646,256000000,1724156235824,24,576
647,256000000,1724156236405,24,581
648,256000000,1724156237307,24,902
649,256000000,1724156239202,24,1895
650,256000000,1724156239780,24,578
651,256000000,1724156240362,24,582
652,256000000,1724156241587,24,1225
653,256000000,1724156242166,24,579
654,256000000,1724156242740,24,574
655,256000000,1724156243308,24,568
656,256000000,1724156244217,24,909
657,256000000,1724156245153,24,936
658,256000000,1724156246087,24,934
659,256000000,1724156247009,24,922
660,256000000,1724156248910,24,1901
661,256000000,1724156249819,24,909
662,256000000,1724156251371,24,1552
663,256000000,1724156252291,24,920
664,256000000,1724156253190,24,899
665,256000000,1724156253767,24,577
666,256000000,1724156254656,24,889
667,256000000,1724156255246,24,590
668,256000000,1724156255823,24,577
669,256000000,1724156256730,24,907
670,256000000,1724156257307,24,577
671,256000000,1724156258218,24,911
672,256000000,1724156261089,24,2871
673,256000000,1724156262628,24,1539
674,256000000,1724156263858,24,1230
675,256000000,1724156264437,24,579
676,256000000,1724156265667,24,1230
677,256000000,1724156267227,24,1560
678,256000000,1724156268470,24,1243
679,256000000,1724156269046,24,576
680,256000000,1724156270599,24,1553
681,256000000,1724156271522,24,923
682,256000000,1724156272420,24,898
683,256000000,1724156272996,24,576
684,256000000,1724156273630,24,634
685,256000000,1724156274876,24,1246
686,256000000,1724156275763,24,887
687,256000000,1724156276668,24,905
688,256000000,1724156277262,24,594
689,256000000,1724156278214,24,952
690,256000000,1724156281488,24,3274
691,256000000,1724156282412,24,924
692,256000000,1724156282981,24,569
693,256000000,1724156284218,24,1237
694,256000000,1724156285446,24,1228
695,256000000,1724156286019,24,573
696,256000000,1724156287564,24,1545
697,256000000,1724156288142,24,578
698,256000000,1724156289046,24,904
699,256000000,1724156290929,24,1883
700,256000000,1724156291833,24,904
701,256000000,1724156292419,24,586
702,256000000,1724156293005,24,586
703,256000000,1724156295531,24,2526
704,256000000,1724156296105,24,574
705,256000000,1724156296681,24,576
706,256000000,1724156297587,24,906
707,256000000,1724156298176,24,589
708,256000000,1724156300046,24,1870
709,256000000,1724156300620,24,574
710,256000000,1724156302184,24,1564
711,256000000,1724156302783,24,599
712,256000000,1724156304649,24,1866
713,256000000,1724156307499,24,2850
714,256000000,1724156308074,24,575
715,256000000,1724156309627,24,1553
716,256000000,1724156311229,24,1602
717,256000000,1724156311823,24,594
718,256000000,1724156313404,24,1581
719,256000000,1724156314333,24,929
720,256000000,1724156315887,24,1554
721,256000000,1724156316467,28,580
722,256000000,1724156317052,28,585
723,256000000,1724156319289,28,2237
724,256000000,1724156321832,28,2543
725,256000000,1724156323391,28,1559
726,256000000,1724156324293,28,902
727,256000000,1724156325853,28,1560
728,256000000,1724156326423,28,570
729,256000000,1724156329291,28,2868
730,256000000,1724156332477,28,3186
731,256000000,1724156333401,28,924
732,256000000,1724156333969,28,568
733,256000000,1724156335521,28,1552
734,256000000,1724156339024,28,3503
735,256000000,1724156339598,28,574
736,256000000,1724156344118,28,4520
737,256000000,1724156346027,28,1909
738,256000000,1724156348253,28,2226
739,256000000,1724156350467,28,2214
740,256000000,1724156351359,28,892
